label,name,category,subcategory,organization,description,website,address,address_uf,address_uf_nb,source,comment,tags,submittedBy,submissionTimestamp,github_hash
zencoin,Zencoin,gaming,,zencoin,,,0:0A0D917EC383CB009717ABF472372B179B56DEA4A2BF38690324679555ED0895,EQAKDZF-w4PLAJcXq_RyNysXm1bepKK_OGkDJGeVVe0IlTXs,UQAKDZF-w4PLAJcXq_RyNysXm1bepKK_OGkDJGeVVe0IlWgp,,,[],ohld,2025-01-10T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
zencoin,Zencoin,gaming,,zencoin,,,0:2BD7B263EF6FE1F1689EAFACE5EE7F2107997644FED1D3455DBE65A84C25AFFA,EQAr17Jj72_h8Wier6zl7n8hB5l2RP7R00VdvmWoTCWv-gf6,UQAr17Jj72_h8Wier6zl7n8hB5l2RP7R00VdvmWoTCWv-lo_,,,[],ohld,2025-01-13T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
zencoin,Zencoin,gaming,,zencoin,,,0:D93147924BE392582482B1EB2FF2067055EFFC9697DCABF94897E0783331872D,EQDZMUeSS-OSWCSCsesv8gZwVe_8lpfcq_lIl-B4MzGHLUX4,UQDZMUeSS-OSWCSCsesv8gZwVe_8lpfcq_lIl-B4MzGHLRg9,,,[],ohld,2025-01-13T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
zencoin,Zencoin,gaming,,zencoin,,,0:9EB60A53DCE457C5FFCA0DE0B2932F706CEE83E0A30BE015803DBEA6CAF997D5,EQCetgpT3ORXxf_KDeCyky9wbO6D4KML4BWAPb6myvmX1b2K,UQCetgpT3ORXxf_KDeCyky9wbO6D4KML4BWAPb6myvmX1eBP,,,[],ohld,2025-01-15T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
sent_ton,Sent ton,gaming,,sent_ton,,https://t.me/SentTON_bot,0:85302CC5A2028E7E135B1EE9C9FAF58A753DFC7910BA188E150A6A1DF6D3CD45,EQCFMCzFogKOfhNbHunJ-vWKdT38eRC6GI4VCmod9tPNRevc,UQCFMCzFogKOfhNbHunJ-vWKdT38eRC6GI4VCmod9tPNRbYZ,,,[],Lucky0041,2025-09-01T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
rolls,Rolls,gaming,,rolls,,https://t.me/rollsgame_bot,0:947EA8D2304320E421BC7720A5CBC0CD0A557DC34FF84ED67EBFEC45775EEDA6,EQCUfqjSMEMg5CG8dyCly8DNClV9w0_4TtZ-v-xFd17tpoTy,UQCUfqjSMEMg5CG8dyCly8DNClV9w0_4TtZ-v-xFd17tptk3,,,['telegram-gifts'],rdmcd,2025-05-23T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
rolls,Rolls,gaming,,rolls,,https://t.me/rollsgame_bot,0:4ECB939E6C5866B2DEC585D29D0B8EECC2B27B5094965D6E7693D4173667603F,EQBOy5OebFhmst7FhdKdC47swrJ7UJSWXW52k9QXNmdgP80Y,UQBOy5OebFhmst7FhdKdC47swrJ7UJSWXW52k9QXNmdgP5Dd,,,[],shuva10v,2025-07-14T10:09:26Z,1200941b128914d843fc08fee5a832a5176dda9f
mainet,Mainet,gaming,,mainet,,https://t.me/mainetbot,0:B115001EC66C4E3C082EB37641B3F4A564771517B8AA023D145F404B45BE9D08,EQCxFQAexmxOPAgus3ZBs_SlZHcVF7iqAj0UX0BLRb6dCORE,UQCxFQAexmxOPAgus3ZBs_SlZHcVF7iqAj0UX0BLRb6dCLmB,,CORE jetton_master,[],shuva10v,2025-05-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
mainet,Mainet,gaming,,mainet,,https://t.me/mainetbot,0:C85328021ED609052DE0C123E8B38A908B35F69806B2B82ED69803AC3C098BE5,EQDIUygCHtYJBS3gwSPos4qQizX2mAayuC7WmAOsPAmL5YFs,UQDIUygCHtYJBS3gwSPos4qQizX2mAayuC7WmAOsPAmL5dyp,,Receives CORE,[],shuva10v,2025-05-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
mainet,Mainet,gaming,,mainet,,https://t.me/mainetbot,0:38CCCFB443DF45105A76D8115CF370E9EFFAB9C2D1C6B6CE0BFC14E5ACFC0E15,EQA4zM-0Q99FEFp22BFc83Dp7_q5wtHGts4L_BTlrPwOFZ_O,UQA4zM-0Q99FEFp22BFc83Dp7_q5wtHGts4L_BTlrPwOFcIL,,Receives TON,[],ohld,2025-06-04T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
